player           ID,season  ID,match    ID,match date,home/away?,win/loss?,player style,player L/R?,opp    style,opp L/R?,player sets,opp. sets,game ID,player games,opp. games,server,point ID,player point,opp. point,serve result,serve location,return: cross/line,result,point winner,shot type,fore/back,cross/line,point length,error  pos.,comments
Hermehr Kaur,,,2018-01-26,HOME,Win,,R,,R,0,0,,0,0,O,,0,0,F,B,C,U,P,T,F,C,S,N,2nd Match on Court 2
,,,,,,,,,,0,0,,0,0,O,,1,0,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,0,0,O,,2,0,F,B,C,F,P,T,F,L,M,N,
,,,,,,,,,,0,0,,0,0,O,,3,0,F,B,L,U,O,T,F,C,M,L,
,,,,,,,,,,0,0,,0,0,O,,3,1,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,1,0,P,,0,0,F,C,,A,P,,,,S,,
,,,,,,,,,,0,0,,1,0,P,,1,0,F,W,C,W,P,T,F,L,S,,
,,,,,,,,,,0,0,,1,0,P,,2,0,F,W,,A,P,,,,S,,
,,,,,,,,,,0,0,,1,0,P,,3,0,S,W,C,U,P,T,F,L,S,L,
,,,,,,,,,,0,0,,2,0,O,,0,0,F,W,C,F,O,S,B,C,L,N,
,,,,,,,,,,0,0,,2,0,O,,0,1,F,C,C,U,O,T,F,L,M,W,
,,,,,,,,,,0,0,,2,0,O,,0,2,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,2,0,O,,1,2,F,B,C,U,P,T,B,L,M,L,
,,,,,,,,,,0,0,,2,0,O,,2,2,S,W,C,U,P,T,F,C,M,L,
,,,,,,,,,,0,0,,2,0,O,,3,2,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,3,0,P,,0,0,S,B,C,U,O,S,F,L,L,N,
,,,,,,,,,,0,0,,3,0,P,,0,1,S,W,C,U,P,T,F,C,S,L,
,,,,,,,,,,0,0,,3,0,P,,1,1,S,B,C,U,P,T,F,C,M,W,
,,,,,,,,,,0,0,,3,0,P,,2,1,F,W,C,W,P,T,F,C,M,,
,,,,,,,,,,0,0,,3,0,P,,3,1,S,B,C,U,P,T,F,C,M,L,
,,,,,,,,,,0,0,,4,0,O,,0,0,F,B,C,U,O,T,F,L,L,L,
,,,,,,,,,,0,0,,4,0,O,,0,1,S,B,L,U,P,T,F,L,S,N,
,,,,,,,,,,0,0,,4,0,O,,1,1,D,,,D,P,,,,S,,
,,,,,,,,,,0,0,,4,0,O,,2,1,F,B,C,U,P,T,B,C,M,W,
,,,,,,,,,,0,0,,4,0,O,,3,1,F,W,C,W,P,T,F,C,M,,
,,,,,,,,,,0,0,,5,0,P,,0,0,S,B,C,U,P,T,F,L,M,L,
,,,,,,,,,,0,0,,5,0,P,,1,0,S,W,N,F,P,T,B,C,S,L,
,,,,,,,,,,0,0,,5,0,P,,2,0,S,B,C,U,P,T,F,C,M,N,
,,,,,,,,,,0,0,,5,0,P,,3,0,S,B,C,U,P,T,F,C,M,N,
,,,,,,,,,,1,0,,0,0,O,,0,0,D,,,D,P,,,,S,,
,,,,,,,,,,1,0,,0,0,O,,1,0,S,C,L,F,P,T,F,L,S,L,
,,,,,,,,,,1,0,,0,0,O,,2,0,D,,,D,P,,,,S,,
,,,,,,,,,,1,0,,0,0,O,,3,0,F,B,C,F,O,T,F,C,M,W,
,,,,,,,,,,1,0,,0,0,O,,3,1,F,W,N,F,O,T,F,C,S,N,
,,,,,,,,,,1,0,,0,0,O,,3,2,S,B,C,F,P,T,F,C,M,L,
,,,,,,,,,,1,0,,1,0,P,,0,0,F,W,N,F,P,S,F,C,S,N,
,,,,,,,,,,1,0,,1,0,P,,1,0,S,W,C,U,O,T,F,C,S,N,
,,,,,,,,,,1,0,,1,0,P,,1,1,F,W,C,U,P,T,F,L,M,N,
,,,,,,,,,,1,0,,1,0,P,,2,1,F,W,C,U,O,T,F,L,M,L,
,,,,,,,,,,1,0,,1,0,P,,2,2,F,W,,A,P,,,,S,,
,,,,,,,,,,1,0,,1,0,P,,3,2,F,W,,A,P,,,,S,,
,,,,,,,,,,1,0,,2,0,O,,0,0,D,,,D,P,,,,S,,
,,,,,,,,,,1,0,,2,0,O,,1,0,S,C,C,W,P,T,F,L,M,,
,,,,,,,,,,1,0,,2,0,O,,2,0,F,W,C,U,P,T,F,C,M,L,
,,,,,,,,,,1,0,,2,0,O,,3,0,F,C,C,W,P,T,F,C,M,,
,,,,,,,,,,1,0,,3,0,P,,0,0,F,W,C,F,P,S,F,C,S,L,
,,,,,,,,,,1,0,,3,0,P,,1,0,F,B,C,U,O,V,F,C,M,N,
,,,,,,,,,,1,0,,3,0,P,,1,1,D,,,D,O,,,,S,,
,,,,,,,,,,1,0,,3,0,P,,1,2,D,,,D,O,,,,S,,
,,,,,,,,,,1,0,,3,0,P,,1,3,S,B,C,W,O,V,F,C,M,,
,,,,,,,,,,1,0,,3,1,O,,0,0,F,W,N,F,O,S,F,C,S,N,
,,,,,,,,,,1,0,,3,1,O,,0,1,F,B,C,U,O,T,F,C,M,W,
,,,,,,,,,,1,0,,3,1,O,,0,2,D,,,D,P,,,,S,,
,,,,,,,,,,1,0,,3,1,O,,1,2,F,B,C,W,P,T,F,L,M,,
,,,,,,,,,,1,0,,3,1,O,,2,2,D,,,D,P,,,,S,,
,,,,,,,,,,1,0,,3,1,O,,3,2,F,B,C,W,P,T,F,L,M,,
,,,,,,,,,,1,0,,4,1,P,,0,0,S,B,L,F,P,V,F,L,M,W,
,,,,,,,,,,1,0,,4,1,P,,1,0,S,W,N,F,P,T,B,C,S,N,
,,,,,,,,,,1,0,,4,1,P,,2,0,F,C,C,W,P,T,F,C,S,,
,,,,,,,,,,1,0,,4,1,P,,3,0,S,C,N,U,P,T,F,C,S,L,
,,,,,,,,,,1,0,,5,1,O,,0,0,F,W,N,F,O,T,F,C,S,N,
,,,,,,,,,,1,0,,5,1,O,,0,1,D,,,D,P,,,,S,,
,,,,,,,,,,1,0,,5,1,O,,1,1,F,W,L,U,O,T,F,L,M,N,
,,,,,,,,,,1,0,,5,1,O,,1,2,F,B,N,F,O,S,B,C,S,N,
,,,,,,,,,,1,0,,5,1,O,,1,3,F,W,N,F,O,T,F,C,S,N,
,,,,,,,,,,1,0,,5,2,P,,0,0,S,B,C,F,P,S,F,L,L,L,
,,,,,,,,,,1,0,,5,2,P,,1,0,F,C,N,F,P,S,F,C,S,L,
,,,,,,,,,,1,0,,5,2,P,,2,0,D,,,D,O,,,,S,,
,,,,,,,,,,1,0,,5,2,P,,2,1,F,W,N,F,P,S,B,C,S,N,
,,,,,,,,,,1,0,,5,2,P,,3,1,F,C,L,U,O,S,B,C,S,W,
,,,,,,,,,,1,0,,5,2,P,,3,2,S,B,N,F,P,T,B,C,S,L,
Kate Cusick,,,2018-01-26,H,W,,,,,0,0,,0,0,P,,0,0,F,B,C,U,P,T,F,C,S,,
,,,,,,,,,,0,0,,0,0,P,,1,1,F,B,C,U,P,T,F,C,S,,
,,,,,,,,,,0,0,,0,0,P,,2,2,F,B,C,U,P,T,B,C,S,,
,,,,,,,,,,0,0,,0,0,P,,3,2,S,C,C,U,P,T,F,L,S,,
,,,,,,,,,,0,0,,1,0,O,,0,0,F,C,C,U,O,T,F,C,S,,Missed the next point
,,,,,,,,,,0,0,,1,0,O,,1,1,S,W,C,U,O,S,B,C,S,,
,,,,,,,,,,0,0,,1,0,O,,1,2,F,B,C,U,P,T,B,C,S,,
,,,,,,,,,,0,0,,1,0,O,,2,2,F,B,L,U,O,T,F,C,S,,
,,,,,,,,,,0,0,,1,0,O,,2,3,D,,,D,P,,,,,,
,,,,,,,,,,0,0,,1,0,O,,3,3,F,B,C,U,O,S,B,L,S,,
,,,,,,,,,,0,0,,1,1,P,,0,0,F,B,C,U,P,T,F,C,S,,
,,,,,,,,,,0,0,,1,1,P,,1,0,S,W,L,U,O,T,B,C,S,,
,,,,,,,,,,0,0,,1,1,P,,1,1,F,B,C,U,P,T,B,C,S,,
,,,,,,,,,,0,0,,1,1,P,,2,1,S,B,C,U,O,T,F,L,S,,
,,,,,,,,,,0,0,,1,1,P,,2,2,F,B,C,U,P,T,F,C,S,N,
,,,,,,,,,,0,0,,1,1,P,,3,2,F,B,L,F,P,T,F,L,S,W,
,,,,,,,,,,0,0,,2,1,O,,0,0,F,C,C,U,O,T,B,C,M,L,
,,,,,,,,,,0,0,,2,1,O,,0,1,F,B,C,U,O,T,B,C,S,L,
,,,,,,,,,,0,0,,2,1,O,,0,2,F,B,C,U,P,T,B,C,S,L,
,,,,,,,,,,0,0,,2,1,O,,1,2,F,B,C,F,P,T,F,L,S,L,
,,,,,,,,,,0,0,,2,1,O,,2,2,S,B,C,U,P,T,B,C,S,W,
,,,,,,,,,,0,0,,2,1,O,,3,2,F,B,C,U,P,T,B,C,M,L,
,,,,,,,,,,0,0,,3,1,P,,0,0,F,B,C,U,O,V,F,C,M,L,
,,,,,,,,,,0,0,,3,1,P,,0,1,S,W,,A,P,,,,S,,
,,,,,,,,,,0,0,,3,1,P,,1,1,F,B,C,F,P,T,B,C,S,,
,,,,,,,,,,0,0,,3,1,P,,2,1,F,C,C,W,P,T,F,C,S,,
,,,,,,,,,,0,0,,3,1,P,,3,1,F,B,L,F,P,T,F,L,S,L,
,,,,,,,,,,0,0,,4,1,O,,0,0,F,B,C,F,P,T,B,C,S,W,
,,,,,,,,,,0,0,,4,1,O,,1,0,F,W,C,U,P,T,B,C,M,N,
,,,,,,,,,,0,0,,4,1,O,,2,0,F,C,C,U,O,T,B,C,S,N,
,,,,,,,,,,0,0,,4,1,O,,2,1,F,B,L,U,O,T,F,C,M,N,
,,,,,,,,,,0,0,,4,1,O,,2,2,F,W,L,F,O,T,F,L,S,W,
,,,,,,,,,,0,0,,4,1,O,,2,3,S,B,C,F,O,T,B,C,S,N,
,,,,,,,,,,0,0,,4,2,P,,0,0,F,C,C,W,P,T,B,C,S,,
,,,,,,,,,,0,0,,4,2,P,,2,0,F,B,,A,P,,,,,,
,,,,,,,,,,0,0,,4,2,P,,3,0,F,W,L,F,P,T,B,L,S,L,
,,,,,,,,,,0,0,,5,2,O,,0,0,S,W,C,U,O,T,B,C,M,L,
,,,,,,,,,,0,0,,5,2,O,,0,1,S,B,C,U,P,T,B,C,S,L,
,,,,,,,,,,0,0,,5,2,O,,1,1,F,B,L,U,O,T,B,L,S,W,
,,,,,,,,,,0,0,,5,2,O,,1,2,F,C,C,W,P,S,B,C,M,,
,,,,,,,,,,0,0,,5,2,O,,2,2,S,C,C,U,P,T,F,C,M,W,
,,,,,,,,,,0,0,,5,2,O,,3,2,F,W,C,W,P,T,B,C,S,,
,,,,,,,,,,1,0,,0,0,P,,0,0,S,B,C,W,P,T,B,C,S,,
,,,,,,,,,,1,0,,0,0,P,,2,0,F,B,L,U,P,T,B,L,S,L,
,,,,,,,,,,1,0,,0,0,P,,3,0,F,W,,A,P,,,,,,
,,,,,,,,,,1,0,,1,0,O,,0,0,F,W,C,F,P,T,B,C,S,L,
,,,,,,,,,,1,0,,1,0,O,,1,0,F,B,C,U,O,T,F,C,S,L,
,,,,,,,,,,1,0,,1,0,O,,1,1,F,B,L,W,O,T,F,C,S,,
,,,,,,,,,,1,0,,1,0,O,,1,2,F,B,C,U,O,T,B,C,S,W,
,,,,,,,,,,1,0,,1,0,O,,1,3,F,W,C,U,O,T,F,L,S,N,
,,,,,,,,,,1,0,,1,1,P,,0,0,S,W,C,F,P,T,B,C,S,L,
,,,,,,,,,,1,0,,1,1,P,,1,0,F,W,L,F,P,T,B,L,S,N,
,,,,,,,,,,1,0,,1,1,P,,2,0,F,C,L,F,P,T,F,L,S,,
,,,,,,,,,,1,0,,1,1,P,,3,0,S,W,C,U,P,T,F,C,M,N,
,,,,,,,,,,1,0,,2,1,O,,0,1,F,W,C,F,O,T,B,C,S,L,
,,,,,,,,,,1,0,,2,1,O,,1,2,S,,,,,,,,,,
,,,,,,,,,,1,0,,2,1,O,,1,2,S,W,C,F,P,T,B,C,S,L,
,,,,,,,,,,1,0,,2,1,O,,2,2,S,B,C,F,O,T,F,L,S,W,
,,,,,,,,,,1,0,,2,1,O,,3,3,F,B,C,U,O,T,F,C,S,L,
,,,,,,,,,,1,0,,2,2,P,,0,0,D,,,D,O,,,,,,
,,,,,,,,,,1,0,,2,2,P,,0,1,D,,,D,O,,,,,,
,,,,,,,,,,1,0,,2,2,P,,0,2,F,W,C,W,P,T,F,L,S,,
,,,,,,,,,,1,0,,2,2,P,,1,2,F,W,L,F,P,T,B,L,S,,
,,,,,,,,,,1,0,,2,2,P,,2,2,F,B,C,F,P,T,B,C,M,N,
,,,,,,,,,,1,0,,2,2,P,,3,2,F,W,,A,P,,,,,,
,,,,,,,,,,1,0,,3,2,O,,0,0,F,W,C,U,P,V,B,C,M,N,
,,,,,,,,,,1,0,,3,2,O,,1,0,F,W,C,W,P,T,B,C,M,,
,,,,,,,,,,1,0,,3,2,O,,2,0,F,B,L,F,O,T,B,L,S,,
,,,,,,,,,,1,0,,3,2,O,,2,1,F,B,C,F,O,O,F,C,M,N,
,,,,,,,,,,1,0,,3,2,O,,2,2,F,B,L,W,O,T,B,C,M,,
,,,,,,,,,,1,0,,3,2,O,,2,3,F,B,C,W,P,T,B,C,S,,
,,,,,,,,,,1,0,,3,2,O,,3,3,F,B,C,F,P,T,F,C,S,L,
,,,,,,,,,,1,0,,4,2,P,,0,0,D,,,D,O,,,,,,
,,,,,,,,,,1,0,,4,2,P,,0,1,F,W,C,U,O,V,F,L,M,N,
,,,,,,,,,,1,0,,4,2,P,,0,2,S,B,C,F,P,T,B,C,S,L,
,,,,,,,,,,1,0,,4,2,P,,1,2,F,W,L,U,P,T,B,L,S,W,
,,,,,,,,,,1,0,,4,2,P,,2,3,D,,,D,O,,,,,,
,,,,,,,,,,1,0,,4,3,O,,1,0,F,B,C,F,P,T,F,C,S,N,
,,,,,,,,,,1,0,,4,3,O,,2,0,S,W,L,U,O,T,F,L,S,W,
,,,,,,,,,,1,0,,4,3,O,,2,1,S,B,C,U,O,T,B,L,L,W,
,,,,,,,,,,1,0,,4,3,O,,2,2,F,C,C,F,O,T,B,C,S,N,
,,,,,,,,,,1,0,,4,3,O,,2,3,F,W,C,U,P,L,B,L,S,L,
,,,,,,,,,,1,0,,4,3,O,,3,3,F,C,C,U,P,T,F,L,M,L,
,,,,,,,,,,1,0,,5,3,P,,0,0,F,W,C,F,P,T,F,C,S,W,
,,,,,,,,,,1,0,,5,3,P,,1,0,S,W,C,U,O,T,F,C,S,L,
,,,,,,,,,,1,0,,5,3,P,,1,1,S,B,C,U,P,T,B,C,M,W,
,,,,,,,,,,1,0,,5,3,P,,2,1,S,B,C,W,P,T,B,C,S,,
,,,,,,,,,,1,0,,5,3,P,,3,2,F,B,C,F,P,T,B,C,S,,
,,,,,,,,,,2,0,,6,3,O,,4,2,F,B,C,F,P,T,B,C,S,,
Samantha Smith,,,2018-01-26,HOME,,,R,,R,0,0,,0,0,p,,0,0,s,w,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,0,0,p,,1,0,s,b,l,w,p,t,f,l,s,,
,,,,,,,,,,0,0,,0,0,p,,2,0,f,b,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,0,0,p,,3,0,f,c,l,u,o,t,b,c,s,,
,,,,,,,,,,0,0,,0,0,p,,3,1,f,b,c,u,p,o,f,c,s,w,
,,,,,,,,,,0,0,,1,0,O,,0,0,s,b,l,u,o,s,f,c,s,l,
,,,,,,,,,,0,0,,1,0,O,,0,1,f,b,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,1,0,O,,1,1,f,b,c,u,o,t,f,c,s,n,
,,,,,,,,,,0,0,,1,0,O,,1,2,f,b,c,u,o,t,f,c,s,n,
,,,,,,,,,,0,0,,1,0,O,,1,3,f,b,c,u,o,t,f,c,s,n,
,,,,,,,,,,0,0,,1,1,P,,0,0,f,b,c,u,p,t,f,c,s,n,
,,,,,,,,,,0,0,,1,1,P,,1,0,s,w,c,w,p,t,f,l,s,,
,,,,,,,,,,0,0,,1,1,P,,2,0,f,c,l,w,p,t,f,l,s,,
,,,,,,,,,,0,0,,1,1,P,,3,0,f,b,l,u,o,s,b,c,s,n,
,,,,,,,,,,0,0,,1,1,P,,3,1,f,c,l,w,p,t,f,c,m,,
,,,,,,,,,,0,0,,2,1,O,,0,0,s,w,c,w,o,t,f,l,s,,
,,,,,,,,,,0,0,,2,1,O,,0,1,d,,,d,p,,,,,,
,,,,,,,,,,0,0,,2,1,O,,1,1,f,c,l,u,p,s,f,c,s,n,
,,,,,,,,,,0,0,,2,1,O,,2,1,f,w,c,w,o,t,f,c,s,,
,,,,,,,,,,0,0,,2,1,O,,2,2,f,c,l,w,p,t,f,l,s,,
,,,,,,,,,,0,0,,2,1,O,,3,2,f,c,c,w,o,t,f,c,s,,
,,,,,,,,,,0,0,,2,1,O,,3,3,d,,,d,p,,,,,,
,,,,,,,,,,0,0,,3,1,P,,0,0,f,c,l,w,p,s,f,l,s,,
,,,,,,,,,,0,0,,3,1,P,,1,0,f,c,l,f,p,t,f,l,m,n,
,,,,,,,,,,0,0,,3,1,P,,2,0,f,b,l,u,o,o,b,c,s,l,
,,,,,,,,,,0,0,,3,1,P,,2,1,f,w,c,u,o,t,f,c,s,n,
,,,,,,,,,,0,0,,3,1,P,,2,2,f,w,l,f,p,o,b,c,s,l,
,,,,,,,,,,0,0,,3,1,P,,3,2,f,,,a,p,,,,,,
,,,,,,,,,,0,0,,4,1,O,,0,0,s,b,l,u,p,t,f,c,s,l,
,,,,,,,,,,0,0,,4,1,O,,1,0,f,b,l,u,p,t,b,c,s,n,
,,,,,,,,,,0,0,,4,1,O,,2,0,f,b,c,w,o,t,f,l,m,,
,,,,,,,,,,0,0,,4,1,O,,2,1,s,b,l,u,o,s,b,c,s,n,
,,,,,,,,,,0,0,,4,1,O,,2,2,f,b,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,4,1,O,,3,2,f,b,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,5,1,P,,0,0,f,b,l,u,o,t,b,l,s,,
,,,,,,,,,,0,0,,5,1,P,,0,1,s,w,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,5,1,P,,1,1,f,c,c,w,p,t,f,l,s,,
,,,,,,,,,,0,0,,5,1,P,,2,1,s,w,l,u,p,t,f,c,s,l,
,,,,,,,,,,0,0,,5,1,P,,3,1,f,c,c,w,p,t,f,c,s,,
,,,,,,,,,,1,0,,0,0,P,,0,0,f,c,l,f,p,o,b,c,m,l,
,,,,,,,,,,1,0,,0,0,P,,1,0,f,c,c,w,p,t,f,c,m,,
,,,,,,,,,,1,0,,0,0,P,,2,0,f,b,c,w,p,t,b,c,s,,
,,,,,,,,,,1,0,,0,0,P,,3,0,f,w,l,u,p,t,f,c,s,,
,,,,,,,,,,1,0,,1,0,O,,0,0,s,w,c,u,p,t,b,l,s,l,
,,,,,,,,,,1,0,,1,0,O,,1,0,f,w,l,u,p,t,f,c,s,n,
,,,,,,,,,,1,0,,1,0,O,,2,0,f,c,l,w,p,t,b,c,m,,
,,,,,,,,,,1,0,,1,0,O,,3,0,f,w,c,f,p,t,f,l,s,,
,,,,,,,,,,1,0,,2,0,P,,0,0,f,c,c,u,o,t,f,l,s,n,
,,,,,,,,,,1,0,,2,0,P,,0,1,f,w,l,f,p,t,f,c,s,n,
,,,,,,,,,,1,0,,2,0,P,,1,1,f,w,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,0,P,,1,2,f,b,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,0,P,,1,3,s,b,c,w,p,t,f,l,s,,
,,,,,,,,,,1,0,,2,0,P,,2,3,f,w,c,w,p,t,b,c,s,,
,,,,,,,,,,1,0,,2,0,P,,3,3,f,w,c,u,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,1,O,,0,0,s,w,c,u,p,t,b,c,m,w,
,,,,,,,,,,1,0,,2,1,O,,1,0,s,w,l,u,o,o,b,c,s,l,
,,,,,,,,,,1,0,,2,1,O,,1,1,f,,,a,p,,,,,,
,,,,,,,,,,1,0,,2,1,O,,2,1,f,b,c,w,p,t,f,l,m,,
,,,,,,,,,,1,0,,2,1,O,,3,1,f,c,c,u,o,t,f,c,m,n,
,,,,,,,,,,1,0,,2,1,O,,3,2,f,b,c,u,o,t,f,c,s,l,
,,,,,,,,,,1,0,,2,1,O,,3,3,s,b,c,u,o,t,f,c,s,l,
,,,,,,,,,,1,0,,2,2,P,,0,0,f,b,c,u,o,t,f,c,s,n,
,,,,,,,,,,1,0,,2,2,P,,0,1,f,b,c,w,o,s,f,c,m,,
,,,,,,,,,,1,0,,2,2,P,,0,2,f,,,a,o,,,,,,
,,,,,,,,,,1,0,,2,2,P,,0,3,d,,,d,p,,,,,,
,,,,,,,,,,1,0,,2,2,P,,1,3,f,b,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,3,O,,0,0,s,b,c,w,p,t,b,c,m,,
,,,,,,,,,,1,0,,2,3,O,,1,0,f,w,c,w,p,s,b,l,m,,
,,,,,,,,,,1,0,,2,3,O,,2,0,f,c,l,u,o,t,f,c,s,n,
,,,,,,,,,,1,0,,2,3,O,,2,1,f,b,c,u,p,t,f,c,m,l,
,,,,,,,,,,1,0,,2,3,O,,3,1,f,c,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,2,3,O,,3,2,d,,,d,o,,,,,,
,,,,,,,,,,1,0,,2,3,O,,3,3,f,c,c,w,p,t,f,c,s,,
,,,,,,,,,,1,0,,3,3,P,,0,0,f,,,a,o,,,,,,
,,,,,,,,,,1,0,,3,3,P,,0,1,f,c,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,3,3,P,,0,2,f,c,l,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,3,3,P,,0,3,f,c,c,w,o,t,f,c,s,,
,,,,,,,,,,1,0,,3,4,O,,0,0,s,b,c,u,p,t,f,c,s,l,
,,,,,,,,,,1,0,,3,4,O,,1,0,f,b,c,u,p,t,f,c,s,n,
,,,,,,,,,,1,0,,3,4,O,,2,0,f,b,c,w,o,o,b,l,s,,
,,,,,,,,,,1,0,,3,4,O,,2,1,s,c,l,w,p,t,f,c,s,,
,,,,,,,,,,1,0,,3,4,O,,3,1,f,b,c,f,p,t,f,l,s,w,
,,,,,,,,,,1,0,,4,4,P,,0,0,s,b,c,u,o,t,f,c,s,n,
,,,,,,,,,,1,0,,4,4,P,,0,1,f,b,c,u,p,t,f,l,s,l,
,,,,,,,,,,1,0,,4,4,P,,1,1,f,b,c,w,o,t,f,l,s,,
,,,,,,,,,,1,0,,4,4,P,,1,2,f,c,l,u,o,t,b,l,s,l,
,,,,,,,,,,1,0,,4,4,P,,1,3,f,b,c,u,o,t,f,c,s,l,
,,,,,,,,,,1,0,,4,5,O,,0,0,f,b,c,f,p,s,f,c,s,l,
,,,,,,,,,,1,0,,4,5,O,,1,0,f,b,c,f,p,t,b,c,m,l,
,,,,,,,,,,1,0,,4,5,O,,2,0,f,b,c,f,p,s,f,c,m,n,
,,,,,,,,,,1,0,,4,5,O,,3,0,f,w,c,f,p,t,b,c,s,w,
,,,,,,,,,,1,0,,5,5,P,,0,0,f,w,c,f,p,t,f,l,s,l,
